addr	name	size	callers	callees
7100072790	thumb_10a	112	0	0
7100072800	thumb_10b	112	0	0
7100072870	thumb_10c	64	0	0
71000728b0	thumb_10d	288	0	0
71000729d0	thumb_10e	64	0	0
7100072a10	thumb_10f	56	0	0
7100072a50	thumb_110_x85	164	0	1
7100072b00	thumb_111	44	0	0
7100072b30	thumb_112	392	0	0
7100072cc0	thumb_113	396	0	0
7100072e50	thumb_115	116	0	0
7100072ed0	thumb_116	116	0	0
7100072f50	thumb_117	120	0	0
7100072fd0	thumb_119	32	0	0
7100072ff0	thumb_11a	380	0	0
7100073170	thumb_11b	384	0	0
71000732f0	thumb_11c_x2	336	0	0
7100073440	thumb_120_x32	332	0	0
7100073590	thumb_140_x8	304	0	1
71000736c0	thumb_148_x8	308	0	1
7100073800	thumb_150_x8	308	0	1
7100073940	thumb_158_x8	320	0	1
7100073a80	thumb_160_x8	316	0	1
7100073bc0	thumb_168_x8	316	0	1
7100073d00	thumb_170_x8	320	0	1
7100073e40	thumb_178_x8	332	0	1
7100073f90	thumb_180_x32	304	0	1
71000740c0	thumb_1a0_x32	316	0	1
